Date,Name of Vendors,Expense Description,Amount,Transaction Type,Expense Category,Account Name,Labels,Notes
8/5/2019,GARLIC,GARLIC,29.99,debit,Restaurants,Business Advantage Cash Rewards,,
8/4/2019,Valero,SANTA CLARA VALERO SANTA CLARA CA,42.63,debit,Gas & Fuel,XXXXXXXXXX5301,,
8/4/2019,Maiwand Market of Santa Clara,MAIWAND MARKET OF SC SANTA CLARA CA,13.49,debit,Groceries,XXXXXXXXXX5301,,
8/3/2019,Lucky,LUCKY #773 SANTA CL SANTA CLARA CA,9.75,debit,Groceries,XXXXXXXXXX5301,,
8/3/2019,Lucky,LUCKY #773 SANTA CL SANTA CLARA CA,19.06,debit,Groceries,XXXXXXXXXX5301,,
8/3/2019,Burger King,BURGER KING #3827 SAN JOSE CA,15.93,debit,Fast Food,XXXXXXXXXX5301,,
8/3/2019,Lucky,LUCKY #773 SANTA CL SANTA CLARA CA,20.72,debit,Groceries,Bank of America Cash Rewards Visa Signature,,
8/3/2019,PURI WATER SANTA CLARA CA,SQ *PURI WATER SANTA CLARA CA,2.25,debit,Coffee Shops,XXXXXXXXXX5301,,
8/3/2019,TAJ MAHAL SANTA CLARA CA,TAJ MAHAL SANTA CLARA CA,52.88,debit,Groceries,XXXXXXXXXX5301,,
8/3/2019,Costco,COSTCO WHSE #0423 SUNNYVALE CA,49.82,debit,Shopping,XXXXXXXXXX5301,,
8/2/2019,BA ELECTRONIC PAYMENT,BA ELECTRONIC PAYMENT,1000,credit,Credit Card Payment,Bank of America Cash Rewards Visa Signature,,
8/2/2019,Patelco Credit Union,PATELCO CREDIT 1790 S BASCOM AVE,490,debit,Financial,FREE CHECKING,,
8/1/2019,Loan,From Loan 99302,490,credit,Income,FREE CHECKING,,
7/31/2019,DIVIDEND,,0.09,credit,Investments,POD Savings Account,,
7/31/2019,PAYMENT - THANK YOU,PAYMENT - THANK YOU,30,credit,Credit Card Payment,XXXX-XXXX-XXXX-2118,,
7/31/2019,Macys.com,MACYS.COM New York NY,43.7,debit,Clothing,XXXX-XXXX-XXXX-2118,,
7/31/2019,Whole Foods,WHOLEFDS BLL 10320 SAN JOSE CA,16.83,debit,Groceries,Bank of America Cash Rewards Visa Platinum Plus,,
7/31/2019,To Loan 99302 348721574,To Loan 99302,200,debit,Auto Payment,FREE CHECKING,,
7/31/2019,Patelco El Camino,PATELCO CREDIT 2654 EL CAMINO RE,200,credit,Income,FREE CHECKING,,
7/30/2019,Sunnyvale Car Spa Inc.,SUNNYVALE CAR SPA SUNNYVALE CA,34.63,debit,Gas & Fuel,XXXX-XXXX-XXXX-7998,,
7/30/2019,ONLINE payment-THANK YOU ATLANTA GA,ONLINE PYMT-THANK YOU ATLANTA GA,30,credit,Credit Card Payment,XXXXXXXXXX4742,,
7/30/2019,To Loan 99302 348168057,To Loan 99302,300,debit,Auto Payment,FREE CHECKING,,
7/30/2019,Patelco El Camino,PATELCO CREDIT 2654 EL CAMINO RE,300,credit,Income,FREE CHECKING,,
7/29/2019,S & S GAS & OIL INC.,S & S GAS & OIL INC.,48.96,debit,Gas & Fuel,Platinum Mastercard,,
7/29/2019,Target,TARGET 00028308 SANTA CLARA CA,21.1,debit,Shopping,XXXX-XXXX-XXXX-7998,,
7/29/2019,Double Apples Hookah,SQ *DOUBLE APPLES H CAMPBELL CA,33.35,debit,Business Services,XXXX-XXXX-XXXX-7998,,
7/29/2019,INTEREST CHARGE ON PURCHASES,INTEREST CHARGE ON PURCHASES,84.93,debit,Finance Charge,XXXX-XXXX-XXXX-7998,,
7/29/2019,BA ELECTRONIC PAYMENT,BA ELECTRONIC PAYMENT,100,credit,Credit Card Payment,CORP Account - Business Advantage Cash Rewards,,
7/28/2019,Whole Foods,WHOLEFDS SCA #10633 SANTA CLARA CA,44.06,debit,Groceries,Costco Anywhere Visa® Card by Citi,,
7/28/2019,VALLEY FAIR (CA) Santa Clara CA,VALLEY FAIR (CA) Santa Clara CA,21.79,debit,Restaurants,XXXX-XXXX-XXXX-2118,,
7/28/2019,Valley Fair Ca,VALLEY FAIR (CA) Santa Clara CA,21.79,credit,Credit Card Payment,XXXX-XXXX-XXXX-2118,,
7/28/2019,VALLEY FAIR (CA) Santa Clara CA,VALLEY FAIR (CA) Santa Clara CA,60.17,debit,Restaurants,XXXX-XXXX-XXXX-2118,,
7/28/2019,VALLEY FAIR (CA) Santa Clara CA,VALLEY FAIR (CA) Santa Clara CA,21.79,debit,Restaurants,XXXX-XXXX-XXXX-2118,,
7/28/2019,Valley Fair Ca,VALLEY FAIR (CA) Santa Clara CA,43.6,credit,Credit Card Payment,XXXX-XXXX-XXXX-2118,,
7/28/2019,Brfs Sfs Onl,BRFS SFS ONL CLASSIC CHANDLER AZ,43.59,credit,Credit Card Payment,XXXXXXXXXX5662,,
7/28/2019,BANANA* GREAT MALL MILPITAS CA,BANANA* GREAT MALL MILPITAS CA,2.27,debit,Shopping,XXXXXXXXXX5662,,
7/27/2019,Luxe Apparel & Gift Shiseido,LUXE APPAREL & GIFT,43.6,debit,Clothing,CREDITCARD Account,,
7/27/2019,LUXE APPAREL & GIFT SANTA CLARA CA,LUXE APPAREL & GIFT SANTA CLARA CA,43.6,debit,Clothing,XXXXXXXXXX1112,,
7/27/2019,BA ELECTRONIC PAYMENT,BA ELECTRONIC PAYMENT,200,credit,Credit Card Payment,Bank of America Cash Rewards Visa Platinum Plus,,
7/27/2019,Lucky,LUCKY #773 SANTA CL SANTA CLARA CA,5.66,debit,Groceries,Bank of America Cash Rewards Visa Platinum Plus,,
7/26/2019,Whole Foods,WHOLEFDS STC 10267 CUPERTINO CA,87.74,debit,Groceries,Bank of America Cash Rewards Visa Signature,,
7/26/2019,Lucky,LUCKY #773 SANTA CL SANTA CLARA CA,26.83,debit,Groceries,Bank of America Cash Rewards Visa Signature,,
7/26/2019,BA ELECTRONIC PAYMENT,BA ELECTRONIC PAYMENT,300,credit,Credit Card Payment,Bank of America Cash Rewards Visa Signature,,
7/25/2019,Deerfield Il,ONLINE PAYMENT DEERFIELD IL,300,credit,Credit Card Payment,XXXX-XXXX-XXXX-7998,,
7/25/2019,georgianbus.com,georgianbus.com,14.18,debit,Gift,Platinum Mastercard,,
7/25/2019,THANK YOU,ONLINE PAYMENT THANK YOU,200,credit,Credit Card Payment,XXXXXXXXXX5301,,
7/25/2019,LATE FEE,LATE FEE,28,debit,Late Fee,XXXXXXXXXX5301,,
7/24/2019,7-Eleven,7-ELEVEN 14241,8.86,debit,Fast Food,CREDITCARD Account,,
7/24/2019,Sweet Tomatoes,SWEET TOMATOES 89 Q14,12.33,debit,Groceries,CREDITCARD Account,,
7/24/2019,7-Eleven,7-ELEVEN 14241 SANTA CLARA CA,8.86,debit,Fast Food,XXXXXXXXXX1112,,
7/24/2019,Whole Foods,WHOLEFDS BLL 10320 SAN JOSE CA,32.86,debit,Groceries,Bank of America Cash Rewards Visa Platinum Plus,,
7/24/2019,Sweet Tomatoes,SWEET TOMATOES 89 Q14 SAN JOSE CA,12.33,debit,Groceries,XXXXXXXXXX1112,,
7/23/2019,Whole Foods,WHOLEFDS BLL 10320 SAN JOSE CA,51.65,debit,Groceries,Bank of America Cash Rewards Visa Signature,,
7/23/2019,G1 AUTO TEST AND REPAIR SANTA CLARA CA,G1 AUTO TEST AND REPAIR SANTA CLARA CA,40,debit,Service & Parts,Bank of America Cash Rewards Visa Signature,,
7/23/2019,Deerfield Il,ONLINE PAYMENT DEERFIELD IL,120,credit,Credit Card Payment,XXXX-XXXX-XXXX-7998,,
7/22/2019,BRFS SFS ONL CLASSIC CHANDLER AZ,BRFS SFS ONL CLASSIC CHANDLER AZ,43.59,debit,Clothing,XXXXXXXXXX5662,,
7/22/2019,Macys.com,MACYS.COM New York NY,66.41,debit,Clothing,XXXX-XXXX-XXXX-2118,,
7/22/2019,Lucky,LUCKY #773 SANTA CLA,6.17,debit,Groceries,Business Advantage Cash Rewards,,
7/22/2019,7-Eleven,7-ELEVEN 14241 SANTA CLARA CA,6.85,debit,Fast Food,Bank of America Cash Rewards Visa Signature,,
7/22/2019,Lucky,LUCKY #773 SANTA CLA,6.17,debit,Groceries,SAHILA IBRAHIMIL,,
7/21/2019,Amazon,AMAZON MARKETPLACE SEATTLE WA JOYIN 10 in 1 Die-cast Police,18.49,debit,Shopping,XXXXXXXXXX4742,,
7/20/2019,Lucky,LUCKY #773 SANTA CLA,12.47,debit,Groceries,CREDITCARD Account,,
7/20/2019,Exxon,EXXONMOBIL    99493553,53.59,debit,Gas & Fuel,CREDITCARD Account,,
7/20/2019,Lucky,LUCKY #773 SANTA CLA,17.71,debit,Groceries,CREDITCARD Account,,
7/20/2019,Verizon,VERIZON WRL MY ACCT VW 800-9220204 CA,224.27,debit,Home Phone,XXXX-XXXX-XXXX-7998,,
7/20/2019,Lucky,LUCKY #773 SANTA CLA SANTA CLARA CA,17.71,debit,Groceries,XXXXXXXXXX1112,,
7/20/2019,Lucky,LUCKY #773 SANTA CLA SANTA CLARA CA,12.47,debit,Groceries,XXXXXXXXXX1112,,
7/20/2019,Exxon,EXXONMOBIL 99493553 SANTA CLARA CA,53.59,debit,Gas & Fuel,XXXXXXXXXX1112,,
7/20/2019,Costco,COSTCO WHSE #0423 SUNNYVALE CA,135.59,debit,Shopping,Costco Anywhere Visa® Card by Citi,,
7/20/2019,Exxon,EXXONMOBIL    99493553,31.78,debit,Gas & Fuel,Platinum Mastercard,,
7/20/2019,Patelco El Camino,PATELCO CREDIT 2654 EL CAMINO RE,440,credit,Income,FREE CHECKING,,
7/20/2019,To Loan 99301 346288273,To Loan 99301,439.73,debit,Auto Payment,FREE CHECKING,,
7/19/2019,INTEREST CHARGE ON PURCHASES,INTEREST CHARGE ON PURCHASES,79.18,debit,Finance Charge,CREDITCARD Account,,
7/19/2019,Rewards Special Offer,REWARDS/SPECIAL OFFER CREDIT,2.2,credit,Credit Card Payment,CREDITCARD Account,,
7/19/2019,Lucky,LUCKY #773 SANTA CL SANTA CLARA CA,6.87,debit,Groceries,Costco Anywhere Visa® Card by Citi,,
7/19/2019,Whole Foods,WHOLEFDS BLL 10320 SAN JOSE CA,104.69,debit,Groceries,Bank of America Cash Rewards Visa Signature,,
7/19/2019,Amazon,"AMAZON MARKETPLACE SEATTLE WA Smart Watch, Fitness Tracker w",49.99,debit,Shopping,XXXXXXXXXX4742,,
7/19/2019,Amazon,AMAZON MARKETPLACE SEATTLE WA Samsung Galaxy A20 32GB A205G/,153.99,debit,Shopping,XXXXXXXXXX4742,,
7/19/2019,Amazon,AMAZON RETAIL SEATTLE WA Omron 7 Series Wrist Blood Pre,31.44,debit,Shopping,XXXXXXXXXX4742,,
7/19/2019,Lucky,LUCKY #773 SANTA CL SANTA CLARA CA,56.15,debit,Groceries,Bank of America Cash Rewards Visa Platinum Plus,,
7/18/2019,Amazon,AMAZON MARKETPLACE SEATTLE WA Amazon.com Refund,33.59,credit,Shopping,XXXXXXXXXX4742,,
7/18/2019,Amazon,AMAZON MARKETPLACE SEATTLE WA Pure Enrichment MistAire Ultra SHIPPING AND TAX,43.59,debit,Shopping,XXXXXXXXXX4742,,
7/18/2019,THANK YOU,ONLINE PAYMENT THANK YOU,50,credit,Credit Card Payment,XXXXXXXXXX5662,,
7/18/2019,Lucky,LUCKY #773 SANTA CL SANTA CLARA CA,20.91,debit,Groceries,Bank of America Cash Rewards Visa Signature,,
7/17/2019,Amazon,AMAZON MARKETPLACE SEATTLE WA AUKEY Power Delivery Power Ban,29.99,debit,Shopping,XXXXXXXXXX4742,,
7/17/2019,Amazon,AMAZON RETAIL SEATTLE WA Eau De Grey Flannel By Geoffre SHIPPING AND TAX,16.12,debit,Shopping,XXXXXXXXXX4742,,
7/17/2019,Comcast,COMCAST CALIFORNIA 800-COMCAST CA,46.13,debit,Television,Bank of America Cash Rewards Visa Signature,,
7/17/2019,INTEREST CHARGE:PURCHASES,INTEREST CHARGE:PURCHASES,7.56,debit,Finance Charge,Platinum Mastercard,,
7/17/2019,Netflix,NETFLIX.COM,12.99,debit,Movies & DVDs,Business Advantage Cash Rewards,,
7/16/2019,INTEREST CHARGED TO STANDARD PURCH,INTEREST CHARGED TO STANDARD PURCH,41.1,debit,Finance Charge,Costco Anywhere Visa® Card by Citi,,
7/16/2019,MEMBERSHIP FEE JUL 19-JUN 20,MEMBERSHIP FEE JUL 19-JUN 20,0,credit,Service Fee,Costco Anywhere Visa® Card by Citi,,
7/16/2019,Facebook,SQU*SQ *FACEBOOK STORE,12.02,debit,Advertising,Business Advantage Cash Rewards,,
7/15/2019,Amazon,AMAZON MARKETPLACE SEATTLE WA Pure Enrichment MistAire Ultra,33.59,debit,Shopping,XXXXXXXXXX4742,,
7/15/2019,Amazon,AMAZON MARKETPLACE SEATTLE WA Samsung USB-C Data Charging Ca,2.47,debit,Electronics & Software,XXXXXXXXXX4742,,
7/15/2019,Whole Foods,WHOLEFDS STC 10267 CUPERTINO CA,56.51,debit,Groceries,Bank of America Cash Rewards Visa Platinum Plus,,
7/15/2019,Anwar Bazaar & Bakery,ANWAR BAZAAR & BAKERY SAN JOSE CA,51,debit,Restaurants,Bank of America Cash Rewards Visa Signature,,
7/15/2019,Target,TARGET 00028308 SANTA CLARA CA,15.81,debit,Shopping,Bank of America Cash Rewards Visa Signature,,
7/15/2019,Lucky,LUCKY #773 SANTA CL SANTA CLARA CA,4.69,debit,Groceries,Bank of America Cash Rewards Visa Signature,,
7/15/2019,Exxon,EXXONMOBIL 99493553 SANTA CLARA CA,29.63,debit,Gas & Fuel,Bank of America Cash Rewards Visa Signature,,
7/15/2019,Costco,COSTCO WHSE #0423 SUNNYVALE CA,154.19,debit,Shopping,Bank of America Cash Rewards Visa Signature,,
7/15/2019,Lucky,LUCKY #773 SANTA CL SANTA CLARA CA,22.7,debit,Groceries,Bank of America Cash Rewards Visa Signature,,
7/14/2019,Amazon,AMAZON RETAIL SEATTLE WA BDK AS- AS-705_AM Purple & Pin SHIPPING AND TAX,17.56,debit,Shopping,XXXXXXXXXX4742,,
7/14/2019,Amazon,AMAZON MARKETPLACE SEATTLE WA 2 Pack - EPAuto CP285 (CF10285 SHIPPING AND TAX,14.03,debit,Shopping,XXXXXXXXXX4742,,
7/14/2019,VALLEY FAIR (CA) Santa Clara CA,VALLEY FAIR (CA) Santa Clara CA,31.52,debit,Restaurants,XXXX-XXXX-XXXX-2118,,
7/14/2019,VALLEY FAIR (CA) Santa Clara CA,VALLEY FAIR (CA) Santa Clara CA,36.05,debit,Restaurants,XXXX-XXXX-XXXX-2118,,
7/13/2019,SANTA CLARA UTILITIES 408-615-2300 CA,SANTA CLARA UTILITIES 408-615-2300 CA,33.27,debit,Utilities,Bank of America Cash Rewards Visa Signature,,
7/13/2019,Exxon,EXXONMOBIL 99493553 SANTA CLARA CA,57.79,debit,Gas & Fuel,Bank of America Cash Rewards Visa Signature,,
7/13/2019,Lucky,LUCKY #773 SANTA CL SANTA CLARA CA,24.53,debit,Groceries,Bank of America Cash Rewards Visa Signature,,
7/13/2019,Exxon,EXXONMOBIL 99493553 SANTA CLARA CA,29.05,debit,Gas & Fuel,Bank of America Cash Rewards Visa Signature,,
7/13/2019,Walgreens,WALGREENS #2740 SANTA CLARA CA,8.21,debit,Pharmacy,Bank of America Cash Rewards Visa Signature,,
7/13/2019,CAPITAL ONE ONLINE payment AuthDate 12-Jul,CAPITAL ONE ONLINE PYMT AuthDate 12-J ul,100,credit,Credit Card Payment,Platinum Mastercard,,
7/12/2019,"ONLINE PAYMENT, THANK YOU","ONLINE PAYMENT, THANK YOU",200,credit,Credit Card Payment,Costco Anywhere Visa® Card by Citi,,
7/12/2019,THANK YOU,ONLINE PAYMENT THANK YOU,120,credit,Credit Card Payment,XXXXXXXXXX1112,,
7/12/2019,Amazon,AMAZON MARKETPLACE SEATTLE WA Zento Deals Silver Accordion S,11.49,debit,Shopping,XXXXXXXXXX4742,,
7/12/2019,AUTOMATIC PAYMENT - THANK YOU,AUTOMATIC PAYMENT - THANK YOU,116,credit,Credit Card Payment,XXXXXXXXXX1112,,
7/11/2019,georgianbus.com Tbilisi,georgianbus.com Tbilisi,14.59,debit,Gift,Bank of America Cash Rewards Visa Signature,,
7/11/2019,Whole Foods,WHOLEFDS BLL 10320 SAN JOSE CA,87.55,debit,Groceries,Bank of America Cash Rewards Visa Signature,,
7/11/2019,EYE BOUTIQUE SANTA CLARA CA,EYE BOUTIQUE SANTA CLARA CA,212.6,debit,Eyecare,Bank of America Cash Rewards Visa Signature,,
7/11/2019,FOREIGN TRANSACTION FEE,FOREIGN TRANSACTION FEE,0.43,debit,Service Fee,Bank of America Cash Rewards Visa Signature,,
7/11/2019,Temecula Pizza Co Inc,TEMECULA PIZZA COMPANY TEMECULA CA,1.08,debit,Fast Food,Bank of America Cash Rewards Visa Platinum Plus,,
7/11/2019,Lucky,LUCKY #773 SANTA CL SANTA CLARA CA,47.76,debit,Groceries,Bank of America Cash Rewards Visa Platinum Plus,,
7/11/2019,Temecula Pizza Co Inc,TEMECULA PIZZA COMPANY TEMECULA CA,27.18,debit,Fast Food,Bank of America Cash Rewards Visa Platinum Plus,,
7/11/2019,7-Eleven,7-ELEVEN 29370 SAN DIEGO CA,9.45,debit,Fast Food,Bank of America Cash Rewards Visa Platinum Plus,,
7/11/2019,BUFORD STAR MA79010039 LOST HILLS CA,BUFORD STAR MA79010039 LOST HILLS CA,46.74,debit,Groceries,Bank of America Cash Rewards Visa Platinum Plus,,
7/11/2019,7-Eleven,7-ELEVEN 33074 TEMECULA CA,14.38,debit,Fast Food,Bank of America Cash Rewards Visa Platinum Plus,,
7/11/2019,INTEREST CHARGE ON PURCHASES,INTEREST CHARGE ON PURCHASES,5.03,debit,Finance Charge,XXXXXXXXXX4742,,
7/10/2019,Vons,VONS #2081 SAN DIEGO CA,12.61,debit,Groceries,Bank of America Cash Rewards Visa Signature,,
7/10/2019,WAPADMIS 2010 ESCONDIDO CA,WAPADMIS 2010 ESCONDIDO CA,92,debit,Amusement,Bank of America Cash Rewards Visa Signature,,
7/10/2019,WAP PARKING 2010 ESCONDIDO CA,WAP PARKING 2010 ESCONDIDO CA,15,debit,Parking,Bank of America Cash Rewards Visa Platinum Plus,,
7/10/2019,WAP CAMP STORE ESCONDIDO CA,WAP CAMP STORE ESCONDIDO CA,26.88,debit,Kids Activities,Bank of America Cash Rewards Visa Platinum Plus,,
7/10/2019,Round Table,ROUND TABLE PIZZA SAN DIEGO CA,32.31,debit,Fast Food,Bank of America Cash Rewards Visa Platinum Plus,,
7/10/2019,WAP KALAHARI CUP 2129 ESCONDIDO CA,WAP KALAHARI CUP 2129 ESCONDIDO CA,18.5,debit,Fast Food,Bank of America Cash Rewards Visa Platinum Plus,,
7/10/2019,Chevron,CHEVRON 0091450 SAN DIEGO CA,31.8,debit,Gas & Fuel,Bank of America Cash Rewards Visa Platinum Plus,,
7/10/2019,APRICOT HILL FRUIT STAND LOS BANOS CA,APRICOT HILL FRUIT STAND LOS BANOS CA,48.63,debit,Groceries,Bank of America Cash Rewards Visa Platinum Plus,,
7/9/2019,FHDA DE ANZA REGISTRATION408-8645308 CA,FHDA DE ANZA REGISTRATION408-8645308 CA,15,debit,Tuition,XXXX-XXXX-XXXX-7998,,
7/9/2019,Amazon,AMAZON DIGITAL SEATTLE WA Kindle Svcs - B00B7LPY7U,27.52,debit,Shopping,XXXXXXXXXX4742,,
7/9/2019,Amazon,AMAZON RETAIL SEATTLE WA Digital Transformation: Surviv SHIPPING AND TAX,18.12,debit,Shopping,XXXXXXXXXX4742,,
7/9/2019,Shell,SHELL OIL 57442735403 SAN DIEGO CA,39.43,debit,Gas & Fuel,Bank of America Cash Rewards Visa Signature,,
7/9/2019,7-Eleven,7-ELEVEN 29370 SAN DIEGO CA,21.87,debit,Fast Food,Bank of America Cash Rewards Visa Signature,,
7/9/2019,Interest Charge on Purchases,Interest Charge on Purchases,5.51,debit,Finance Charge,XXXX-XXXX-XXXX-2118,,
7/8/2019,PURCHASE *FINANCE CHARGE*,PURCHASE *FINANCE CHARGE*,55.31,debit,Finance Charge,CORP Account - Business Advantage Cash Rewards,,
7/8/2019,Denny's,DENNY'S INC 1800733669 SAN DIEGO CA,21.53,debit,Restaurants,Bank of America Cash Rewards Visa Signature,,
7/8/2019,SADAF SAN DIEGO CA,SADAF SAN DIEGO CA,21,debit,Restaurants,Bank of America Cash Rewards Visa Signature,,
7/8/2019,Round Table,0141 ROUND TABLE PIZZA LA MESA CA,15.18,debit,Fast Food,Bank of America Cash Rewards Visa Signature,,
7/8/2019,7-Eleven,7-ELEVEN 29370 SAN DIEGO CA,12.34,debit,Fast Food,Bank of America Cash Rewards Visa Signature,,
7/8/2019,Cash Rewards Statement,CASH REWARDS STATEMENT CREDIT,32.41,credit,Credit Card Payment,Bank of America Cash Rewards Visa Platinum Plus,,
7/8/2019,Old Navy,OLD NAVY US 5171,49.58,debit,Clothing,Business Advantage Cash Rewards,,
7/8/2019,Charleys Grilled Subs,CHARLEYS GRILLED SUBS,36.45,debit,Fast Food,Business Advantage Cash Rewards,,
7/8/2019,Old Navy,OLD NAVY US 5171,37.92,debit,Clothing,Business Advantage Cash Rewards,,
7/8/2019,Old Navy,OLD NAVY US 5171,37.92,credit,Clothing,Business Advantage Cash Rewards,,
7/8/2019,Old Navy,OLD NAVY US 5171,49.58,credit,Clothing,Business Advantage Cash Rewards,,
7/7/2019,Wal-Mart,WALMART 005305 CHULA VISTA CA,37.48,debit,Shopping,XXXXXXXXXX1993,,
7/7/2019,7-Eleven,7-ELEVEN 34177 SAN DIEGO CA,5.18,debit,Fast Food,XXXX-XXXX-XXXX-7998,,
7/6/2019,CHULA VISTA Chula Vista CA,CHULA VISTA Chula Vista CA,80.26,debit,Clothing,XXXX-XXXX-XXXX-2118,,
7/6/2019,CHULA VISTA Chula Vista CA,CHULA VISTA Chula Vista CA,34.96,debit,Clothing,XXXX-XXXX-XXXX-2118,,
7/6/2019,CLARKS OUTLET #0850 SAN DIEGO CA,CLARKS OUTLET #0850 SAN DIEGO CA,96.97,debit,Clothing,XXXX-XXXX-XXXX-7998,,
7/6/2019,INTEREST CHARGED ON PURCHASES,INTEREST CHARGED ON PURCHASES,54.19,debit,Finance Charge,Bank of America Cash Rewards Visa Platinum Plus,,
7/6/2019,EXTENDEDSTAY 8808 ORANGE CA,EXTENDEDSTAY 8808 ORANGE CA,99.14,debit,Hotel,Bank of America Cash Rewards Visa Signature,,
7/6/2019,INTEREST CHARGED ON DIR DEP&CHK CASHADV,INTEREST CHARGED ON DIR DEP&CHK CASHADV,38.11,debit,Finance Charge,Bank of America Cash Rewards Visa Signature,,
7/6/2019,INTEREST CHARGED ON PURCHASES,INTEREST CHARGED ON PURCHASES,11.59,debit,Finance Charge,Bank of America Cash Rewards Visa Signature,,
7/6/2019,Chevron,CHEVRON 0206683,51.26,debit,Gas & Fuel,Platinum Mastercard,,
7/5/2019,Pronto,PRONTO ICE CREAM COMMERCE CA,13.48,debit,Shopping,XXXXXXXXXX1112,,
7/5/2019,Old Navy,OLDNAVY BLOCK @ ORANGE ( ORANGE CA,37.92,debit,Clothing,XXXXXXXXXX5662,,
7/5/2019,Block At Orange,BNN RP-BLOCK AT ORANGE ORANGE CA,20.93,debit,Home,XXXXXXXXXX5662,,
7/5/2019,Old Navy,OLDNAVY BLOCK @ ORANGE ( ORANGE CA,4,debit,Clothing,XXXXXXXXXX5662,,
7/5/2019,Old Navy,OLDNAVY BLOCK @ ORANGE ( ORANGE CA,49.58,debit,Clothing,XXXXXXXXXX5662,,
7/5/2019,Block At Orange,BNN RP-BLOCK AT ORANGE ORANGE CA,88.23,debit,Home,XXXXXXXXXX5662,,
7/5/2019,Lucky,LUCKY #773 SANTA CLS9H SANTA CLARA CA,31.99,debit,Groceries,Bank of America Cash Rewards Visa Signature,,
7/5/2019,THE TOLL ROADS OF OC 949-727-4800 CA,THE TOLL ROADS OF OC 949-727-4800 CA,10,debit,Public Transportation,Bank of America Cash Rewards Visa Signature,,
7/5/2019,Exxon,EXXONMOBIL 99493553 SANTA CLARA CA,26.26,debit,Gas & Fuel,Bank of America Cash Rewards Visa Signature,,
7/5/2019,Lucky,LUCKY #773 SANTA CLA,49.42,debit,Groceries,Business Advantage Cash Rewards,,
7/4/2019,Tommy Hilfiger,TOMMY HILFIGER #139 COMMERCE CA,11.21,debit,Clothing,XXXXXXXXXX1112,,
7/4/2019,Tommy Hilfiger,TOMMY HILFIGER #139 COMMERCE CA,170.46,debit,Clothing,XXXXXXXXXX5301,,
7/4/2019,Adidas,ADIDAS 6202 COMMERCE CA,12.32,debit,Clothing,XXXXXXXXXX5301,,
7/4/2019,BA ELECTRONIC PAYMENT,BA ELECTRONIC PAYMENT,200,credit,Credit Card Payment,Bank of America Cash Rewards Visa Signature,,
7/4/2019,INTL GOURMET FOODS SAN JOSE CA,INTL GOURMET FOODS SAN JOSE CA,51.04,debit,Groceries,Bank of America Cash Rewards Visa Signature,,
7/4/2019,Dick's Sporting,DICK'S SPORTING GOODS,21.78,debit,Sporting Goods,Business Advantage Cash Rewards,,
7/4/2019,Whole Foods,WHOLEFDS CBL 10033,59.8,debit,Groceries,Business Advantage Cash Rewards,,
7/4/2019,PAYMENT - THANK YOU,PAYMENT - THANK YOU,30,credit,Credit Card Payment,XXXXXXXXXX1993,,
7/4/2019,Citadel Outlet,BANANA* CITADEL OUTLET COMMERCE CA,19.78,debit,Shopping,XXXXXXXXXX5662,,
7/4/2019,Citadel Outlet,BANANA* CITADEL OUTLET COMMERCE CA,14.64,debit,Shopping,XXXXXXXXXX5662,,
7/3/2019,Exxon,EXXONMOBIL 99493553 SANTA CLARA CA,19.37,debit,Gas & Fuel,Costco Anywhere Visa® Card by Citi,,
7/3/2019,Nick The Greek,SQU*SQ *NICK THE GREEK,11.18,debit,Restaurants,Business Advantage Cash Rewards,,
7/2/2019,Wal-Mart,WALMART 005884 SAN JOSE CA,71.1,debit,Shopping,XXXXXXXXXX1993,,
7/2/2019,Walgreens,WALGREENS #2740 SANTA CLARA CA,2.17,debit,Pharmacy,Bank of America Cash Rewards Visa Platinum Plus,,
7/1/2019,BA ELECTRONIC PAYMENT,BA ELECTRONIC PAYMENT,500,credit,Credit Card Payment,Bank of America Cash Rewards Visa Signature,,
7/1/2019,BA ELECTRONIC PAYMENT,BA ELECTRONIC PAYMENT,150,credit,Credit Card Payment,CORP Account - Business Advantage Cash Rewards,,
7/1/2019,AMC,0447 AMC MERCADO 20,44.07,debit,Movies & DVDs,Business Advantage Cash Rewards,,
7/1/2019,AMC,0447 AMC MERCADO 20,59.07,debit,Movies & DVDs,Business Advantage Cash Rewards,,
7/1/2019,AMC,0447 AMC MERCADO 20,59.07,credit,Movies & DVDs,Business Advantage Cash Rewards,,
7/1/2019,BA ELECTRONIC PAYMENT,BA ELECTRONIC PAYMENT,100,credit,Credit Card Payment,Bank of America Cash Rewards Visa Platinum Plus,,
6/30/2019,QuikStop,QUIK STOP #0034 SAN JOSE CA,23.54,debit,Fast Food,Costco Anywhere Visa® Card by Citi,,
6/30/2019,DIVIDEND,,0.08,credit,Investments,POD Savings Account,,
6/29/2019,BARAKA HALAL MARKET SUNNYVALE CA,BARAKA HALAL MARKET SUNNYVALE CA,33.02,debit,Groceries,XXXXXXXXXX1112,,
6/29/2019,Wal-Mart,WALMART 002280 MOUNTAIN VIEWCA,80.81,debit,Shopping,XXXXXXXXXX1993,,
6/29/2019,Texaco,TEXACO 0381137 SANTA CLARA CA,35.88,debit,Gas & Fuel,XXXXXXXXXX5301,,
6/29/2019,THANK YOU,ONLINE PAYMENT THANK YOU,50,credit,Credit Card Payment,XXXXXXXXXX5301,,
